step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
132,1776323799.6047096,sumo,4047.0,4074.2,61.0,16.801,27.199999999999818
133,1776323801.6087093,sumo,4110.0,4137.8,64.0,17.501,27.800000000000182
134,1776323803.6278138,sumo,4175.0,4203.2,66.0,16.864,28.199999999999818
135,1776323805.6386023,sumo,4240.0,4268.0,65.0,17.791,28.0
136,1776323807.6601803,sumo,4305.0,4333.4,67.0,17.559,28.399999999999636
137,1776323809.651768,sumo,4370.0,4398.0,65.0,17.705,28.0
138,1776323811.658455,sumo,4435.0,4463.2,66.0,17.484,28.199999999999818
139,1776323813.6542878,sumo,4501.0,4529.4,67.0,17.284,28.399999999999636
140,1776323815.6691186,sumo,4570.0,4598.8,69.0,17.426,28.800000000000182
141,1776323817.6726518,sumo,4640.0,4670.2,76.0,17.255,30.199999999999818
142,1776323819.6774936,sumo,4710.0,4739.0,70.0,17.022,29.0
143,1776323821.6875017,sumo,4780.0,4809.2,71.0,17.231,29.199999999999818
144,1776323823.6794496,sumo,4850.0,4879.0,70.0,17.462,29.0
145,1776323825.6944478,sumo,4920.0,4949.2,71.0,17.924,29.199999999999818
146,1776323827.7035003,sumo,4990.0,5019.0,70.0,17.815,29.0
147,1776323829.7049549,sumo,5060.0,5089.2,71.0,18.098,29.199999999999818
148,1776323831.7144039,sumo,5130.0,5159.0,70.0,17.579,29.0
149,1776323833.7222545,sumo,5200.0,5229.2,71.0,17.378,29.199999999999818
150,1776323835.730346,sumo,5270.0,5300.2,76.0,16.565,30.199999999999818
151,1776323837.7461128,sumo,5342.0,5371.6,73.0,16.578,29.600000000000364
152,1776323839.761428,sumo,5415.0,5444.8,74.0,14.918,29.800000000000182
153,1776323841.7695425,sumo,5490.0,5520.0,75.0,16.059,30.0
154,1776323843.7709546,sumo,5565.0,5595.0,75.0,16.89,30.0
155,1776323845.7750993,sumo,5640.0,5670.4,77.0,17.561,30.399999999999636
156,1776323847.7789016,sumo,5715.0,5745.0,75.0,17.225,30.0
157,1776323849.789528,sumo,5790.0,5820.0,75.0,17.831,30.0
158,1776323851.7987747,sumo,5865.0,5895.4,77.0,16.589,30.399999999999636
159,1776323853.8099258,sumo,5940.0,5970.0,75.0,17.349,30.0
160,1776323855.8278546,sumo,6016.0,6046.4,77.0,16.449,30.399999999999636
161,1776323857.8406317,sumo,6096.0,6128.2,86.0,17.21,32.19999999999982
162,1776323859.840513,sumo,6176.0,6207.0,80.0,16.581,31.0
163,1776323861.853684,sumo,6256.0,6287.2,81.0,17.37,31.199999999999818
164,1776323863.8824296,sumo,6336.0,6367.2,81.0,17.541,31.199999999999818
165,1776323865.9183536,sumo,6416.0,6447.0,80.0,17.612,31.0
166,1776323867.8891554,sumo,6496.0,6527.4,82.0,16.98,31.399999999999636
167,1776323869.8990407,sumo,6576.0,6607.0,80.0,16.947,31.0
168,1776323871.9057095,sumo,6656.0,6687.2,81.0,16.373,31.199999999999818
169,1776323873.9091692,sumo,6736.0,6767.2,81.0,17.496,31.199999999999818
170,1776323875.9288294,sumo,6818.0,6849.4,82.0,17.309,31.399999999999636
171,1776323877.9312563,sumo,6903.0,6936.2,91.0,16.963,33.19999999999982
172,1776323879.9422536,sumo,6988.0,7020.2,86.0,16.754,32.19999999999982
173,1776323881.9946954,sumo,7073.0,7105.0,85.0,17.094,32.0
174,1776323883.9534636,sumo,7158.0,7190.2,86.0,16.991,32.19999999999982
175,1776323885.963105,sumo,7243.0,7275.2,86.0,17.238,32.19999999999982
176,1776323887.9772673,sumo,7328.0,7360.0,85.0,17.481,32.0
177,1776323889.9844425,sumo,7413.0,7445.2,86.0,17.509,32.19999999999982
178,1776323892.0031633,sumo,7498.0,7530.0,85.0,17.567,32.0
179,1776323894.0151708,sumo,7583.0,7615.2,86.0,17.667,32.19999999999982
180,1776323896.0470302,sumo,7668.0,7700.2,86.0,16.914,32.19999999999982
181,1776323898.0215201,sumo,7754.0,7787.2,91.0,16.634,33.19999999999982
182,1776323900.0303347,sumo,7843.0,7876.0,90.0,16.726,33.0
183,1776323902.0398452,sumo,7933.0,7966.0,90.0,17.003,33.0
184,1776323904.0430565,sumo,8023.0,8056.2,91.0,16.779,33.19999999999982
185,1776323906.047251,sumo,8113.0,8146.0,90.0,17.092,33.0
186,1776323908.0551414,sumo,8203.0,8236.2,91.0,16.823,33.20000000000073
187,1776323910.070911,sumo,8293.0,8326.2,91.0,17.125,33.20000000000073
188,1776323912.0768957,sumo,8383.0,8416.2,91.0,15.874,33.20000000000073
189,1776323914.0896194,sumo,8473.0,8506.2,91.0,15.736,33.20000000000073
190,1776323916.0853672,sumo,8564.0,8597.2,91.0,16.176,33.20000000000073
191,1776323918.0995238,sumo,8658.0,8692.0,95.0,16.457,34.0
192,1776323920.1001394,sumo,8753.0,8788.2,101.0,16.585,35.20000000000073
193,1776323922.1099668,sumo,8848.0,8882.2,96.0,16.765,34.20000000000073
194,1776323924.1254997,sumo,8943.0,8977.0,95.0,17.2,34.0
195,1776323926.1351717,sumo,9038.0,9072.2,96.0,17.263,34.20000000000073
196,1776323928.1381173,sumo,9133.0,9167.2,96.0,17.138,34.20000000000073
197,1776323930.148154,sumo,9228.0,9262.0,95.0,17.493,34.0
198,1776323932.1617513,sumo,9323.0,9357.2,96.0,16.862,34.20000000000073
199,1776323934.1604655,sumo,9418.0,9452.2,96.0,17.126,34.20000000000073
200,1776323936.1715899,sumo,9513.0,9547.0,95.0,17.36,34.0
201,1776323938.191317,sumo,9610.0,9645.8,104.0,17.357,35.79999999999927
202,1776323940.1995232,sumo,9710.0,9745.0,100.0,17.239,35.0
203,1776323942.20863,sumo,9810.0,9845.0,100.0,17.824,35.0
